2025-02-24 10:26:26,196 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:27,225 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:28,228 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:29,242 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:30,259 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:31,278 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:32,308 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:33,320 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:34,349 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:35,360 - INFO - Gesture: Б, Stability: 96.67%, Threshold: 0.100
2025-02-24 10:26:36,387 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:37,401 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:38,414 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:39,441 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:40,466 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:41,481 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:42,481 - INFO - Gesture: Б, Stability: 96.67%, Threshold: 0.100
2025-02-24 10:26:43,495 - INFO - Gesture: Б, Stability: 96.67%, Threshold: 0.100
2025-02-24 10:26:44,495 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:45,518 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:46,551 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.100
2025-02-24 10:26:47,565 - INFO - Gesture: Немає руки, Stability: 45.16%, Threshold: 0.100
